Dataset,Algorithm,Alpha,Max_Accuracy,Max_F1
CIFAR10,Auror,0.1,51.800000000000004,48.503833959617566
CIFAR10,FedAvg,0.1,51.790000000000006,49.31137704078164
CIFAR10,FedCVG,0.1,54.76,52.71009504904611
CIFAR10,FedProx,0.1,45.16,40.63719438619622
CIFAR10,Krum,0.1,27.98,18.189663322146103
CIFAR10,SCAFFOLD,0.1,58.02,57.97379552703779
CIFAR10,Auror,0.5,74.82,74.80123896294988
CIFAR10,FedAvg,0.5,76.41,76.0770710022529
CIFAR10,FedCVG,0.5,77.08,76.74648902067563
CIFAR10,FedProx,0.5,76.27000000000001,75.9586390552949
CIFAR10,Krum,0.5,64.36,63.20878231184979
CIFAR10,SCAFFOLD,0.5,79.33,79.19685037349142
CIFAR10,Auror,1.0,79.29,79.23159406859163
CIFAR10,FedAvg,1.0,80.43,80.25147340288666
CIFAR10,FedCVG,1.0,81.36,81.34869322721123
CIFAR10,FedProx,1.0,79.86999999999999,79.98050786593971
CIFAR10,Krum,1.0,76.63,76.47657802024472
CIFAR10,SCAFFOLD,1.0,82.31,82.19494175032368
CIFAR10,FedAvg,iid,83.67,83.59710541473127
CIFAR10,FedProx,iid,82.96,82.91658921962907
CIFAR10,Krum,iid,81.21000000000001,81.16898684114831
CIFAR10,SCAFFOLD,iid,85.45,85.3929577532868
