Dataset,Algorithm,Alpha,Max_Accuracy,Max_F1
FashionMNIST,Auror,0.1,83.46000000000001,83.59785933764006
FashionMNIST,FedAvg,0.1,84.94,84.71641762111528
FashionMNIST,FedCVG,0.1,85.24000000000001,85.14055561830402
FashionMNIST,FedProx,0.1,84.7,84.48711197971434
FashionMNIST,Krum,0.1,68.11,62.001468928965
FashionMNIST,Median,0.1,76.86,75.30171345361984
FashionMNIST,SCAFFOLD,0.1,84.84,84.58296026787814
FashionMNIST,TrimmedMean,0.1,76.98,75.58983615955836
FashionMNIST,Auror,0.5,87.44,87.35511533312395
FashionMNIST,FedAvg,0.5,87.99,87.79580492561226
FashionMNIST,FedCVG,0.5,88.5,88.37923712048378
FashionMNIST,FedProx,0.5,87.9,87.66539501999708
FashionMNIST,Krum,0.5,81.82000000000001,78.18437334160518
FashionMNIST,Median,0.5,87.69,87.5523712220272
FashionMNIST,SCAFFOLD,0.5,88.48,88.23688910936225
FashionMNIST,TrimmedMean,0.5,87.27000000000001,87.36764874430956
FashionMNIST,Auror,1.0,88.53,88.50487483214194
FashionMNIST,FedAvg,1.0,89.2,89.19659732034907
FashionMNIST,FedCVG,1.0,89.39,89.35775392616151
FashionMNIST,FedProx,1.0,89.32,89.33321525709587
FashionMNIST,Krum,1.0,87.59,87.68572364097318
FashionMNIST,Median,1.0,89.03,88.92411510365197
FashionMNIST,SCAFFOLD,1.0,89.92,89.86003313223921
FashionMNIST,TrimmedMean,1.0,88.9,88.87005036551182
FashionMNIST,Auror,iid,89.81,89.84443691209373
FashionMNIST,FedAvg,iid,90.33,90.30407928939572
FashionMNIST,FedProx,iid,90.14999999999999,90.12826061837129
FashionMNIST,Krum,iid,88.53999999999999,88.54888720396616
FashionMNIST,Median,iid,90.11,90.074825490252
FashionMNIST,MultiKrum,iid,89.01,89.02331425817643
FashionMNIST,SCAFFOLD,iid,90.5,90.47298802124237
FashionMNIST,TrimmedMean,iid,90.14999999999999,90.12499436029951
