Dataset,Algorithm,Alpha,Max_Accuracy,Max_F1
MNIST,Auror,0.1,97.97,97.95870642096973
MNIST,FedAvg,0.1,98.31,98.30504684674575
MNIST,FedCVG,0.1,98.32,98.30859562082506
MNIST,FedProx,0.1,98.33,98.3218475303292
MNIST,Krum,0.1,87.58,82.62852538950331
MNIST,Median,0.1,97.71,97.67184680612843
MNIST,SCAFFOLD,0.1,98.37,98.3650378327065
MNIST,TrimmedMean,0.1,97.66,97.62525837635869
MNIST,Auror,0.5,98.81,98.8040252863395
MNIST,FedAvg,0.5,98.94,98.93119247441375
MNIST,FedCVG,0.5,98.97,98.9629617604584
MNIST,FedProx,0.5,98.92,98.91023582721033
MNIST,Krum,0.5,97.88,97.87792393666415
MNIST,Median,0.5,98.87,98.85935010848982
MNIST,SCAFFOLD,0.5,99.08,99.07588457544986
MNIST,TrimmedMean,0.5,98.85000000000001,98.84035553791833
MNIST,Auror,1.0,99.09,99.08350617148909
MNIST,FedAvg,1.0,99.09,99.0882184901259
MNIST,FedCVG,1.0,99.18,99.17628652510511
MNIST,FedProx,1.0,99.17,99.16490101227919
MNIST,Krum,1.0,98.75,98.74367695117195
MNIST,Median,1.0,99.08,99.0762921969568
MNIST,SCAFFOLD,1.0,99.17,99.16791075130877
MNIST,TrimmedMean,1.0,99.11,99.10838022715728
MNIST,Auror,iid,99.2,99.19034970799075
MNIST,Bulyan,iid,95.34,95.29374437573479
MNIST,FedAvg,iid,99.24,99.22783133546616
MNIST,FedNova,iid,99.26,99.24952353380334
MNIST,FedProx,iid,99.22999999999999,99.22063828393988
MNIST,Krum,iid,98.98,98.97548952069847
MNIST,Median,iid,99.25,99.24084478085142
MNIST,MultiKrum,iid,99.05000000000001,99.03907253075148
MNIST,SCAFFOLD,iid,99.24,99.23051984816645
MNIST,TrimmedMean,iid,99.26,99.24993766595931
