Dataset,Algorithm,0.1,0.5,1.0,iid
CIFAR10,Auror,51.800000000000004,74.82,79.29,
CIFAR10,FedAvg,51.790000000000006,76.41,80.43,83.67
CIFAR10,FedCVG,54.76,77.08,81.36,
CIFAR10,FedProx,45.16,76.27000000000001,79.86999999999999,82.96
CIFAR10,Krum,27.98,64.36,76.63,81.21000000000001
CIFAR10,SCAFFOLD,58.02,79.33,82.31,85.45
FashionMNIST,Auror,83.46000000000001,87.44,88.53,89.81
FashionMNIST,FedAvg,84.94,87.99,89.2,90.33
FashionMNIST,FedCVG,85.24000000000001,88.5,89.39,
FashionMNIST,FedProx,84.7,87.9,89.32,90.14999999999999
FashionMNIST,Krum,68.11,81.82000000000001,87.59,88.53999999999999
FashionMNIST,Median,76.86,87.69,89.03,90.11
FashionMNIST,MultiKrum,,,,89.01
FashionMNIST,SCAFFOLD,84.84,88.48,89.92,90.5
FashionMNIST,TrimmedMean,76.98,87.27000000000001,88.9,90.14999999999999
MNIST,Auror,97.97,98.81,99.09,99.2
MNIST,Bulyan,,,,95.34
MNIST,FedAvg,98.31,98.94,99.09,99.24
MNIST,FedCVG,98.32,98.97,99.18,
MNIST,FedNova,,,,99.26
MNIST,FedProx,98.33,98.92,99.17,99.22999999999999
MNIST,Krum,87.58,97.88,98.75,98.98
MNIST,Median,97.71,98.87,99.08,99.25
MNIST,MultiKrum,,,,99.05000000000001
MNIST,SCAFFOLD,98.37,99.08,99.17,99.24
MNIST,TrimmedMean,97.66,98.85000000000001,99.11,99.26
