Dataset,Algorithm,Alpha,Max_Accuracy,Max_F1
MNIST,Auror,0.1,97.97,97.95870642096973
MNIST,FedAvg,0.1,98.31,98.30504684674575
MNIST,FedCVG,0.1,98.32,98.30859562082506
MNIST,FedProx,0.1,98.33,98.3218475303292
MNIST,Krum,0.1,87.58,82.62852538950331
MNIST,Median,0.1,97.71,97.67184680612843
MNIST,SCAFFOLD,0.1,98.37,98.3650378327065
MNIST,TrimmedMean,0.1,97.66,97.62525837635869
MNIST,Auror,0.5,98.81,98.8040252863395
MNIST,FedAvg,0.5,98.94,98.93119247441375
MNIST,FedCVG,0.5,98.97,98.9629617604584
MNIST,FedProx,0.5,98.92,98.91023582721033
MNIST,Krum,0.5,97.88,97.87792393666415
MNIST,Median,0.5,98.87,98.85935010848982
MNIST,SCAFFOLD,0.5,99.08,99.07588457544986
MNIST,TrimmedMean,0.5,98.85000000000001,98.84035553791833
MNIST,Auror,1.0,99.09,99.08350617148909
MNIST,FedAvg,1.0,99.09,99.0882184901259
MNIST,FedCVG,1.0,99.18,99.17628652510511
MNIST,FedProx,1.0,99.17,99.16490101227919
MNIST,Krum,1.0,98.75,98.74367695117195
MNIST,Median,1.0,99.08,99.0762921969568
MNIST,SCAFFOLD,1.0,99.17,99.16791075130877
MNIST,TrimmedMean,1.0,99.11,99.10838022715728
MNIST,Auror,iid,99.2,99.19034970799075
MNIST,Bulyan,iid,95.34,95.29374437573479
MNIST,FedAvg,iid,99.24,99.22783133546616
MNIST,FedNova,iid,99.26,99.24952353380334
MNIST,FedProx,iid,99.22999999999999,99.22063828393988
MNIST,Krum,iid,98.98,98.97548952069847
MNIST,Median,iid,99.25,99.24084478085142
MNIST,MultiKrum,iid,99.05000000000001,99.03907253075148
MNIST,SCAFFOLD,iid,99.24,99.23051984816645
MNIST,TrimmedMean,iid,99.26,99.24993766595931
FashionMNIST,Auror,0.1,83.46000000000001,83.59785933764006
FashionMNIST,FedAvg,0.1,84.94,84.71641762111528
FashionMNIST,FedCVG,0.1,85.24000000000001,85.14055561830402
FashionMNIST,FedProx,0.1,84.7,84.48711197971434
FashionMNIST,Krum,0.1,68.11,62.001468928965
FashionMNIST,Median,0.1,76.86,75.30171345361984
FashionMNIST,SCAFFOLD,0.1,84.84,84.58296026787814
FashionMNIST,TrimmedMean,0.1,76.98,75.58983615955836
FashionMNIST,Auror,0.5,87.44,87.35511533312395
FashionMNIST,FedAvg,0.5,87.99,87.79580492561226
FashionMNIST,FedCVG,0.5,88.5,88.37923712048378
FashionMNIST,FedProx,0.5,87.9,87.66539501999708
FashionMNIST,Krum,0.5,81.82000000000001,78.18437334160518
FashionMNIST,Median,0.5,87.69,87.5523712220272
FashionMNIST,SCAFFOLD,0.5,88.48,88.23688910936225
FashionMNIST,TrimmedMean,0.5,87.27000000000001,87.36764874430956
FashionMNIST,Auror,1.0,88.53,88.50487483214194
FashionMNIST,FedAvg,1.0,89.2,89.19659732034907
FashionMNIST,FedCVG,1.0,89.39,89.35775392616151
FashionMNIST,FedProx,1.0,89.32,89.33321525709587
FashionMNIST,Krum,1.0,87.59,87.68572364097318
FashionMNIST,Median,1.0,89.03,88.92411510365197
FashionMNIST,SCAFFOLD,1.0,89.92,89.86003313223921
FashionMNIST,TrimmedMean,1.0,88.9,88.87005036551182
FashionMNIST,Auror,iid,89.81,89.84443691209373
FashionMNIST,FedAvg,iid,90.33,90.30407928939572
FashionMNIST,FedProx,iid,90.14999999999999,90.12826061837129
FashionMNIST,Krum,iid,88.53999999999999,88.54888720396616
FashionMNIST,Median,iid,90.11,90.074825490252
FashionMNIST,MultiKrum,iid,89.01,89.02331425817643
FashionMNIST,SCAFFOLD,iid,90.5,90.47298802124237
FashionMNIST,TrimmedMean,iid,90.14999999999999,90.12499436029951
CIFAR10,Auror,0.1,51.800000000000004,48.503833959617566
CIFAR10,FedAvg,0.1,51.790000000000006,49.31137704078164
CIFAR10,FedCVG,0.1,54.76,52.71009504904611
CIFAR10,FedProx,0.1,45.16,40.63719438619622
CIFAR10,Krum,0.1,27.98,18.189663322146103
CIFAR10,SCAFFOLD,0.1,58.02,57.97379552703779
CIFAR10,Auror,0.5,74.82,74.80123896294988
CIFAR10,FedAvg,0.5,76.41,76.0770710022529
CIFAR10,FedCVG,0.5,77.08,76.74648902067563
CIFAR10,FedProx,0.5,76.27000000000001,75.9586390552949
CIFAR10,Krum,0.5,64.36,63.20878231184979
CIFAR10,SCAFFOLD,0.5,79.33,79.19685037349142
CIFAR10,Auror,1.0,79.29,79.23159406859163
CIFAR10,FedAvg,1.0,80.43,80.25147340288666
CIFAR10,FedCVG,1.0,81.36,81.34869322721123
CIFAR10,FedProx,1.0,79.86999999999999,79.98050786593971
CIFAR10,Krum,1.0,76.63,76.47657802024472
CIFAR10,SCAFFOLD,1.0,82.31,82.19494175032368
CIFAR10,FedAvg,iid,83.67,83.59710541473127
CIFAR10,FedProx,iid,82.96,82.91658921962907
CIFAR10,Krum,iid,81.21000000000001,81.16898684114831
CIFAR10,SCAFFOLD,iid,85.45,85.3929577532868
