Dataset,Algorithm,0.1,0.5,1.0,iid
CIFAR10,Auror,48.503833959617566,74.80123896294988,79.23159406859163,
CIFAR10,FedAvg,49.31137704078164,76.0770710022529,80.25147340288666,83.59710541473127
CIFAR10,FedCVG,52.71009504904611,76.74648902067563,81.34869322721123,
CIFAR10,FedProx,40.63719438619622,75.9586390552949,79.98050786593971,82.91658921962907
CIFAR10,Krum,18.189663322146103,63.20878231184979,76.47657802024472,81.16898684114831
CIFAR10,SCAFFOLD,57.97379552703779,79.19685037349142,82.19494175032368,85.3929577532868
FashionMNIST,Auror,83.59785933764006,87.35511533312395,88.50487483214194,89.84443691209373
FashionMNIST,FedAvg,84.71641762111528,87.79580492561226,89.19659732034907,90.30407928939572
FashionMNIST,FedCVG,85.14055561830402,88.37923712048378,89.35775392616151,
FashionMNIST,FedProx,84.48711197971434,87.66539501999708,89.33321525709587,90.12826061837129
FashionMNIST,Krum,62.001468928965,78.18437334160518,87.68572364097318,88.54888720396616
FashionMNIST,Median,75.30171345361984,87.5523712220272,88.92411510365197,90.074825490252
FashionMNIST,MultiKrum,,,,89.02331425817643
FashionMNIST,SCAFFOLD,84.58296026787814,88.23688910936225,89.86003313223921,90.47298802124237
FashionMNIST,TrimmedMean,75.58983615955836,87.36764874430956,88.87005036551182,90.12499436029951
MNIST,Auror,97.95870642096973,98.8040252863395,99.08350617148909,99.19034970799075
MNIST,Bulyan,,,,95.29374437573479
MNIST,FedAvg,98.30504684674575,98.93119247441375,99.0882184901259,99.22783133546616
MNIST,FedCVG,98.30859562082506,98.9629617604584,99.17628652510511,
MNIST,FedNova,,,,99.24952353380334
MNIST,FedProx,98.3218475303292,98.91023582721033,99.16490101227919,99.22063828393988
MNIST,Krum,82.62852538950331,97.87792393666415,98.74367695117195,98.97548952069847
MNIST,Median,97.67184680612843,98.85935010848982,99.0762921969568,99.24084478085142
MNIST,MultiKrum,,,,99.03907253075148
MNIST,SCAFFOLD,98.3650378327065,99.07588457544986,99.16791075130877,99.23051984816645
MNIST,TrimmedMean,97.62525837635869,98.84035553791833,99.10838022715728,99.24993766595931
