algorithm,dataset,alpha,acc_mean,acc_range,f1_mean,f1_range
Auror,,0.1,40.646458333333335,14.316458333333337,34.24745312493765,16.970595713320733
Auror,,0.5,70.78291666666667,7.09291666666666,70.1957562818305,8.886764682008838
Auror,,1.0,78.15354166666667,2.613541666666677,77.90103213809324,3.087423153599474
FedAvg,,0.1,44.77875,9.098750000000003,39.0357925720734,13.668661299938464
FedAvg,,0.5,73.51020833333334,5.900208333333339,73.18660249224563,6.064076146791152
FedAvg,,1.0,79.29291666666668,1.5029166666666782,79.21219879545988,1.4965049914805064
FedProx,,0.5,73.62812500000001,5.028125000000003,73.32679355482071,5.72564333665963
FedProx,,1.0,79.06895833333333,1.8189583333333275,79.03748542075517,1.5963729786859204
Krum,,0.1,20.560624999999998,10.560624999999998,9.402364574253818,7.584182756072
Krum,,0.5,57.873125,13.063125,54.37278156240919,18.576356008591922
Krum,,1.0,73.46145833333333,9.641458333333325,72.29318050708882,11.434866185284122
SCAFFOLD,,0.1,47.655208333333334,13.255208333333336,42.35185804917525,17.198301643509875
SCAFFOLD,,0.5,74.93750000000001,9.517500000000013,74.2886251893929,11.065583438516548
SCAFFOLD,,1.0,80.559375,4.749375000000001,80.49984956627796,4.675114324696281
