algorithm,dataset,alpha,acc_mean,acc_range,f1_mean,f1_range
Auror,,0.1,76.94541666666667,9.205416666666679,75.78798728316785,10.817462026307666
Auror,,0.5,84.64937499999999,2.719374999999985,83.68362697530758,4.246939141319146
Auror,,1.0,87.88979166666667,1.4897916666666617,87.83892797990785,1.5750157562445537
FedAvg,,0.1,79.890625,4.7706249999999955,79.48191335257685,6.0906800123928235
FedAvg,,0.5,85.66166666666666,4.921666666666667,85.31245036522911,5.0269798012349725
FedAvg,,1.0,88.55041666666666,1.5604166666666686,88.50629013395663,1.4576527702852076
FedProx,,0.1,80.03041666666667,5.780416666666667,79.65807562011237,5.950239728682035
FedProx,,0.5,85.62604166666667,4.49604166666667,85.26028665317091,4.574599490121699
FedProx,,1.0,88.40520833333333,0.9652083333333366,88.390141998449,0.8462832852713262
Krum,,0.1,55.21125,12.96125,47.677409110259504,14.192933966685118
Krum,,0.5,75.50854166666667,8.758541666666673,72.16800569913909,9.510979843210158
Krum,,1.0,83.17291666666668,6.92291666666668,82.44539075647846,8.42619841395853
Median,,0.1,70.05583333333334,9.08583333333334,66.87017022779429,9.278249542592867
Median,,0.5,84.95104166666665,4.421041666666653,84.32413959578206,3.818403017197255
Median,,1.0,88.115625,1.3456249999999983,88.1124229549298,1.2602854342565877
SCAFFOLD,,0.1,77.04270833333334,10.63270833333334,75.60716040948952,14.83936380919284
SCAFFOLD,,0.5,84.821875,7.221874999999997,84.2525647442367,7.151030876993829
SCAFFOLD,,1.0,88.224375,5.414375000000007,88.17435137176047,6.515882125264369
TrimmedMean,,0.1,70.72416666666666,8.644166666666663,67.81839941692813,9.572494087396628
TrimmedMean,,0.5,84.79708333333335,3.947083333333353,84.10537188490706,3.9263113836716457
TrimmedMean,,1.0,88.25416666666666,1.034166666666664,88.24246262582737,1.0501737769972834
