algorithm,dataset,alpha,acc_mean,acc_range,f1_mean,f1_range
Auror,,0.1,96.220625,2.920624999999987,96.05208833103342,3.8966046635643607
Auror,,0.5,98.54333333333332,0.30333333333331325,98.53430677618368,0.3090813431673496
Auror,,1.0,98.95479166666665,0.2747916666666441,98.95029961785268,0.2750193797861158
FedAvg,,0.1,97.71479166666666,0.6247916666666526,97.6976876184604,0.6300111610473778
FedAvg,,0.5,98.73208333333334,0.19208333333332916,98.72350405847321,0.18769917024276594
FedAvg,,1.0,98.98791666666668,0.16791666666668448,98.98346478166268,0.16779972144369992
FedProx,,0.1,97.74041666666668,0.7304166666666845,97.72341478066551,0.6939118075209478
FedProx,,0.5,98.72145833333335,0.2614583333333371,98.71320399417974,0.25773811100442856
FedProx,,1.0,99.06104166666665,0.1710416666666532,99.0561598922652,0.1618444578200524
Krum,,0.1,81.75083333333333,15.08083333333333,76.86051427295641,15.175549174043027
Krum,,0.5,95.94583333333334,3.9058333333333337,95.90036838390616,3.986040860045165
Krum,,1.0,97.74479166666667,4.654791666666682,97.7251606563524,4.590832364823598
Median,,0.1,96.39208333333333,2.0720833333333246,96.25308869304162,2.387813326985281
Median,,0.5,98.71041666666667,0.24041666666667538,98.70073659746258,0.24691403008175428
Median,,1.0,98.98708333333333,0.06708333333332916,98.98211836685084,0.0663827549731053
SCAFFOLD,,0.1,96.02166666666668,5.961666666666673,95.8195043286152,7.343534271164231
SCAFFOLD,,0.5,98.476875,2.496875000000003,98.4689465657282,2.5792911952444513
SCAFFOLD,,1.0,98.97437500000001,0.6443750000000108,98.96730845577174,0.6514730019649022
TrimmedMean,,0.1,96.21270833333334,2.0827083333333434,96.04055506234403,2.5134900868479946
TrimmedMean,,0.5,98.71416666666667,0.24416666666667197,98.70355942876662,0.2517605643773493
TrimmedMean,,1.0,99.015,0.14499999999999602,99.01095082747302,0.14466578353489012
Auror,,0.1,76.94541666666667,9.205416666666679,75.78798728316785,10.817462026307666
Auror,,0.5,84.64937499999999,2.719374999999985,83.68362697530758,4.246939141319146
Auror,,1.0,87.88979166666667,1.4897916666666617,87.83892797990785,1.5750157562445537
FedAvg,,0.1,79.890625,4.7706249999999955,79.48191335257685,6.0906800123928235
FedAvg,,0.5,85.66166666666666,4.921666666666667,85.31245036522911,5.0269798012349725
FedAvg,,1.0,88.55041666666666,1.5604166666666686,88.50629013395663,1.4576527702852076
FedProx,,0.1,80.03041666666667,5.780416666666667,79.65807562011237,5.950239728682035
FedProx,,0.5,85.62604166666667,4.49604166666667,85.26028665317091,4.574599490121699
FedProx,,1.0,88.40520833333333,0.9652083333333366,88.390141998449,0.8462832852713262
Krum,,0.1,55.21125,12.96125,47.677409110259504,14.192933966685118
Krum,,0.5,75.50854166666667,8.758541666666673,72.16800569913909,9.510979843210158
Krum,,1.0,83.17291666666668,6.92291666666668,82.44539075647846,8.42619841395853
Median,,0.1,70.05583333333334,9.08583333333334,66.87017022779429,9.278249542592867
Median,,0.5,84.95104166666665,4.421041666666653,84.32413959578206,3.818403017197255
Median,,1.0,88.115625,1.3456249999999983,88.1124229549298,1.2602854342565877
SCAFFOLD,,0.1,77.04270833333334,10.63270833333334,75.60716040948952,14.83936380919284
SCAFFOLD,,0.5,84.821875,7.221874999999997,84.2525647442367,7.151030876993829
SCAFFOLD,,1.0,88.224375,5.414375000000007,88.17435137176047,6.515882125264369
TrimmedMean,,0.1,70.72416666666666,8.644166666666663,67.81839941692813,9.572494087396628
TrimmedMean,,0.5,84.79708333333335,3.947083333333353,84.10537188490706,3.9263113836716457
TrimmedMean,,1.0,88.25416666666666,1.034166666666664,88.24246262582737,1.0501737769972834
Auror,,0.1,40.646458333333335,14.316458333333337,34.24745312493765,16.970595713320733
Auror,,0.5,70.78291666666667,7.09291666666666,70.1957562818305,8.886764682008838
Auror,,1.0,78.15354166666667,2.613541666666677,77.90103213809324,3.087423153599474
FedAvg,,0.1,44.77875,9.098750000000003,39.0357925720734,13.668661299938464
FedAvg,,0.5,73.51020833333334,5.900208333333339,73.18660249224563,6.064076146791152
FedAvg,,1.0,79.29291666666668,1.5029166666666782,79.21219879545988,1.4965049914805064
FedProx,,0.5,73.62812500000001,5.028125000000003,73.32679355482071,5.72564333665963
FedProx,,1.0,79.06895833333333,1.8189583333333275,79.03748542075517,1.5963729786859204
Krum,,0.1,20.560624999999998,10.560624999999998,9.402364574253818,7.584182756072
Krum,,0.5,57.873125,13.063125,54.37278156240919,18.576356008591922
Krum,,1.0,73.46145833333333,9.641458333333325,72.29318050708882,11.434866185284122
SCAFFOLD,,0.1,47.655208333333334,13.255208333333336,42.35185804917525,17.198301643509875
SCAFFOLD,,0.5,74.93750000000001,9.517500000000013,74.2886251893929,11.065583438516548
SCAFFOLD,,1.0,80.559375,4.749375000000001,80.49984956627796,4.675114324696281
